@relation 'all-data-pacman-weka.filters.unsupervised.attribute.Reorder-R18-last,first-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Northlegal=False numeric
@attribute Southlegal=False numeric
@attribute Eastlegal=False numeric
@attribute Westlegal=False numeric
@attribute NumDots numeric
@attribute PosX numeric
@attribute PosY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute DistGhost1 numeric
@attribute DistGhost2 numeric
@attribute DistGhost3 numeric
@attribute DistGhost4 numeric
@attribute Score numeric
@attribute Direction {East,West,North,South,Stop}

@data
0,0,0,0,2,6,9,6,5,3,1,8,11,14,6,8,0,4,11,193,North
0,0,1,0,2,6,10,6,5,3,1,8,11,14,6,9,0,3,12,192,North
1,0,0,0,2,6,11,6,5,3,1,8,11,14,6,10,0,2,13,191,East
1,1,0,0,2,7,11,6,5,3,1,8,11,14,6,11,0,1,12,190,East
1,1,0,0,2,8,11,6,5,3,1,5,1,14,6,12,0,0,11,389,East
1,1,0,0,2,9,11,6,5,3,1,5,1,14,6,11,0,0,10,388,East
1,0,0,0,2,10,11,6,5,3,1,5,1,14,6,10,0,0,9,387,South
0,0,0,1,2,10,10,6,5,3,1,5,1,14,6,9,0,0,8,386,South
0,0,0,0,2,10,9,6,5,3,1,5,1,14,6,8,0,0,7,385,East
0,1,0,0,2,11,9,6,5,3,1,5,1,14,6,9,0,0,6,384,East
1,0,0,0,2,12,9,6,5,3,1,5,1,14,6,10,0,0,5,383,South
0,0,0,1,2,12,8,6,5,3,1,5,1,14,6,11,0,0,4,382,South
0,1,0,1,2,12,7,6,5,3,1,5,1,14,6,12,0,0,3,381,East
0,1,0,0,2,13,7,6,5,3,1,5,1,14,6,11,0,0,2,380,East
0,0,0,0,2,14,7,6,5,3,1,5,1,14,6,10,0,0,1,379,South
0,0,1,1,2,14,6,6,5,3,1,5,1,7,1,9,0,0,0,578,South
0,0,0,0,2,14,5,6,5,3,1,5,1,7,1,8,0,0,0,577,West
1,0,0,0,2,13,5,6,5,3,1,5,1,7,1,7,0,0,0,576,West
1,1,0,0,2,12,5,6,5,3,1,5,1,7,1,6,0,0,0,575,West
1,0,0,0,2,11,5,6,5,3,1,5,1,7,1,5,0,0,0,574,West
0,0,0,0,2,10,5,6,5,3,1,5,1,7,1,4,0,0,0,573,West
0,0,0,0,2,9,5,6,5,3,1,5,1,7,1,3,0,0,0,572,West
0,0,0,0,2,8,5,6,5,3,1,5,1,7,1,2,0,0,0,571,West
1,0,0,0,2,7,5,6,5,3,1,5,1,7,1,1,0,0,0,570,West
1,1,0,0,0,14,3,10,15,13,15,14,15,17,15,34,31,30,33,0,East
0,1,0,0,0,15,3,10,15,13,15,15,15,17,15,33,30,30,32,-1,North
0,0,1,1,0,15,4,10,15,13,16,15,15,17,15,32,28,29,31,-2,North
1,0,0,1,0,15,5,11,15,14,16,15,15,16,15,30,26,28,29,-3,East
1,1,0,0,0,16,5,12,15,14,17,16,15,15,15,28,24,28,27,-4,East
1,1,0,0,0,17,5,11,15,13,17,16,15,14,15,28,24,27,25,-5,East
0,1,1,0,0,18,5,10,15,14,17,16,15,15,15,28,22,26,25,-6,North
0,0,1,1,0,18,6,11,15,14,16,16,15,14,15,26,22,25,23,-7,North
0,0,1,1,0,18,7,10,15,14,17,17,15,15,15,26,20,25,23,-8,North
1,0,0,0,0,18,8,10,15,14,16,17,15,14,15,25,20,24,21,-9,East
1,1,0,0,0,19,8,11,15,14,15,16,15,14,16,23,20,22,19,-10,East
1,1,0,0,0,20,8,11,15,15,15,17,15,14,17,22,20,22,17,-11,East
0,0,1,0,0,21,8,11,15,14,15,16,15,14,16,21,18,20,17,-12,North
0,0,1,1,0,21,9,11,15,14,16,17,15,14,16,20,16,20,16,-13,North
0,0,1,1,0,21,10,11,15,14,15,17,15,13,16,19,16,19,16,-14,North
0,0,0,0,0,21,11,12,15,15,15,16,15,13,17,17,16,17,14,-15,North
0,0,1,1,0,21,12,12,15,16,15,16,15,12,17,16,16,16,14,-16,North
0,0,1,1,0,21,13,11,15,16,15,16,15,12,18,16,15,15,14,-17,North
0,0,1,1,0,21,14,10,15,17,15,16,15,12,18,16,15,14,13,-18,North
0,0,0,0,0,21,15,11,15,16,15,17,15,12,18,14,13,14,12,-19,West
1,1,0,0,0,20,15,12,15,17,15,16,15,12,17,12,13,12,10,-20,West
0,0,0,1,0,19,15,13,15,16,15,16,15,12,17,10,11,11,9,-21,North
0,0,1,1,0,19,16,13,15,16,15,15,15,11,17,9,10,9,9,-22,North
1,0,1,0,0,19,17,13,15,15,15,16,15,10,17,8,8,9,9,-23,West
1,1,0,0,0,18,17,13,16,15,15,17,15,11,17,6,7,9,7,-24,West
1,1,0,0,0,17,17,14,16,16,15,16,15,10,17,4,7,7,7,-25,West
1,1,0,0,0,16,17,14,17,15,15,15,15,9,17,2,5,5,7,-26,West
0,1,0,0,0,15,17,14,16,14,15,16,15,10,17,2,3,5,5,-27,West
1,0,0,0,0,14,17,1,1,13,15,15,15,10,17,0,3,3,4,172,South
0,0,1,0,0,14,16,1,1,12,15,15,15,11,17,0,3,2,4,171,South
0,1,0,0,0,14,15,1,1,11,15,15,15,10,17,0,3,1,6,170,East
1,1,0,0,0,15,15,1,1,12,15,5,1,10,17,0,3,0,7,369,West
0,1,0,0,0,14,15,1,1,12,15,5,1,9,17,0,2,0,7,368,West
0,1,0,0,0,13,15,1,1,3,1,5,1,8,17,0,0,0,7,567,North
0,0,0,1,0,13,16,1,1,3,1,5,1,8,17,0,0,0,6,566,North
1,0,0,0,0,13,17,1,1,3,1,5,1,8,17,0,0,0,5,565,West
0,1,0,0,0,12,17,1,1,3,1,5,1,8,16,0,0,0,5,564,West
1,1,0,0,0,11,17,1,1,3,1,5,1,8,16,0,0,0,4,563,West
1,1,0,0,0,10,17,1,1,3,1,5,1,8,17,0,0,0,2,562,West
1,1,0,0,0,14,3,10,15,13,15,14,15,17,15,34,31,30,33,0,East
0,1,0,0,0,15,3,10,15,13,15,14,15,17,15,33,30,29,32,-1,North
0,0,1,1,0,15,4,10,15,13,15,14,15,17,15,32,29,28,31,-2,North
1,0,0,1,0,15,5,10,15,13,15,14,15,17,15,31,28,27,30,-3,East
1,1,0,0,0,16,5,10,15,13,15,14,15,17,15,30,27,26,29,-4,East
1,1,0,0,0,17,5,10,15,13,15,14,15,17,15,29,26,25,28,-5,East
0,1,1,0,0,18,5,10,15,13,15,14,15,17,15,28,25,24,27,-6,North
0,0,1,1,0,18,6,10,15,13,15,14,15,17,15,27,24,23,26,-7,North
0,0,1,1,0,18,7,10,15,13,15,14,15,17,15,26,23,22,25,-8,North
1,0,0,0,0,18,8,10,15,13,15,14,15,17,15,25,22,21,24,-9,East
1,1,0,0,0,19,8,10,15,13,15,14,15,17,15,24,21,20,23,-10,East
1,1,0,0,0,20,8,10,15,13,15,14,15,17,15,23,20,19,22,-11,East
0,0,1,0,0,21,8,10,15,13,15,14,15,17,15,22,19,18,21,-12,North
0,0,1,1,0,21,9,10,15,13,15,14,15,17,15,21,18,17,20,-13,North
0,0,1,1,0,21,10,10,15,13,15,14,15,17,15,20,17,16,19,-14,North
0,0,0,0,0,21,11,10,15,13,15,14,15,17,15,19,16,15,18,-15,North
0,0,1,1,0,21,12,10,15,13,15,14,15,17,15,18,15,14,17,-16,North
0,0,1,1,0,21,13,10,15,13,15,14,15,17,15,17,14,13,16,-17,North
0,0,1,1,0,21,14,10,15,13,15,14,15,17,15,16,13,12,15,-18,North
0,0,0,0,0,21,15,10,15,13,15,14,15,17,15,15,12,11,14,-19,West
1,1,0,0,0,20,15,10,15,13,15,14,15,17,15,14,11,10,13,-20,West
0,0,0,1,0,19,15,10,15,13,15,14,15,17,15,13,10,9,12,-21,North
0,0,1,1,0,19,16,10,15,13,15,14,15,17,15,12,9,8,11,-22,North
1,0,1,0,0,19,17,10,15,13,15,14,15,17,15,11,8,7,10,-23,West
1,1,0,0,0,18,17,10,15,13,15,14,15,17,15,10,7,6,9,-24,West
1,1,0,0,0,17,17,10,15,13,15,14,15,17,15,9,6,5,8,-25,West
1,1,0,0,0,16,17,10,15,13,15,14,15,17,15,8,5,4,7,-26,West
0,1,0,0,0,15,17,10,15,13,15,14,15,17,15,7,4,3,6,-27,West
