@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
13, 7, 4, 5, 3, 1, 5, 1, 7,1, Stop
13, 7, 4, 5, 3, 1, 5, 1, 7,1, West
12, 7, 5, 5, 3, 1, 5, 1, 7,1, North
12, 8, 5, 4, 3, 1, 5, 1, 7,1, North
12, 9, 6, 4, 3, 1, 5, 1, 7,1, West
11, 9, 6, 5, 3, 1, 5, 1, 7,1, West
10, 9, 6, 5, 3, 1, 5, 1, 7,1, South
10, 8, 7, 5, 3, 1, 5, 1, 7,1, South
10, 7, 7, 5, 3, 1, 5, 1, 7,1, South
10, 6, 7, 4, 3, 1, 5, 1, 7,1, South
10, 5, 7, 3, 3, 1, 5, 1, 7,1, West
9, 5, 7, 3, 3, 1, 5, 1, 7,1, West
8, 5, 6, 3, 3, 1, 5, 1, 7,1, South
8, 4, 6, 4, 3, 1, 5, 1, 7,1, South
8, 3, 7, 4, 3, 1, 5, 1, 7,1, West
7, 3, 7, 5, 3, 1, 5, 1, 7,1, West
6, 3, 8, 5, 3, 1, 5, 1, 7,1, North
6, 4, 8, 5, 3, 1, 5, 1, 7,1, North
6, 5, 8, 5, 3, 1, 5, 1, 7,1, East
7, 5, 8, 6, 3, 1, 5, 1, 7,1, East
8, 5, 9, 6, 3, 1, 5, 1, 7,1, East
9, 5, 9, 7, 3, 1, 5, 1, 7,1, North
9, 6, 9, 7, 3, 1, 5, 1, 7,1, North
1, 11, 6, 5, 6, 9, 8, 11, 14,6, Stop
1, 11, 7, 5, 6, 9, 9, 11, 14,6, Stop
1, 11, 7, 4, 6, 8, 10, 11, 14,7, Stop
1, 11, 7, 5, 7, 8, 10, 10, 14,6, East
2, 11, 8, 5, 7, 9, 10, 9, 14,7, East
3, 11, 8, 5, 7, 8, 9, 9, 14,7, East
4, 11, 8, 5, 8, 8, 9, 9, 13,7, East
5, 11, 9, 5, 7, 8, 10, 9, 14,7, East
6, 11, 9, 5, 6, 8, 10, 10, 14,7, East
7, 11, 9, 5, 6, 9, 10, 9, 15,7, East
8, 11, 9, 6, 5, 9, 10, 8, 14,7, East
9, 11, 8, 6, 5, 9, 10, 9, 15,7, East
10, 11, 8, 6, 6, 9, 11, 9, 16,7, South
10, 10, 8, 7, 6, 10, 11, 10, 17,7, South
10, 9, 8, 6, 6, 10, 11, 9, 18,7, South
10, 8, 8, 7, 5, 10, 12, 9, 18,6, South
10, 7, 9, 7, 5, 10, 12, 9, 18,7, West
9, 7, 1, 1, 5, 10, 12, 9, 18,7, West
8, 7, 1, 1, 5, 10, 12, 9, 17,7, West
7, 7, 1, 1, 5, 9, 13, 9, 17,7, West
6, 7, 1, 1, 5, 9, 13, 8, 17,8, North
6, 8, 1, 1, 4, 9, 12, 8, 18,8, North
6, 9, 1, 1, 4, 9, 12, 7, 18,9, West
5, 9, 1, 1, 4, 9, 12, 8, 18,8, West
4, 9, 1, 1, 3, 1, 13, 8, 18,8, West
3, 9, 1, 1, 3, 1, 13, 8, 17,8, East
4, 9, 1, 1, 3, 1, 12, 8, 17,7, East
5, 9, 1, 1, 3, 1, 12, 8, 17,8, East
6, 9, 1, 1, 3, 1, 13, 8, 16,8, East
7, 9, 1, 1, 3, 1, 13, 8, 16,9, East
8, 9, 1, 1, 3, 1, 13, 7, 16,8, East
9, 9, 1, 1, 3, 1, 14, 7, 15,8, East
10, 9, 1, 1, 3, 1, 14, 7, 15,7, East
11, 9, 1, 1, 3, 1, 13, 7, 15,7, East
12, 9, 1, 1, 3, 1, 13, 8, 15,7, East
13, 9, 1, 1, 3, 1, 12, 8, 16,7, South
13, 8, 1, 1, 3, 1, 5, 1, 16,8, South
13, 7, 1, 1, 3, 1, 5, 1, 16,7, Stop
13, 7, 1, 1, 3, 1, 5, 1, 15,7, East
1, 11, 6, 5, 6, 9, 8, 11, 14,6, East
2, 11, 6, 5, 5, 9, 9, 11, 14,6, East
3, 11, 7, 5, 4, 9, 10, 11, 14,6, East
4, 11, 8, 5, 4, 8, 10, 10, 14,6, East
5, 11, 9, 5, 3, 8, 11, 10, 14,5, East
6, 11, 9, 4, 4, 8, 11, 9, 14,5, East
7, 11, 8, 4, 4, 7, 10, 9, 14,5, East
8, 11, 9, 4, 4, 8, 10, 9, 15,5, East
9, 11, 9, 3, 4, 8, 11, 9, 15,4, East
10, 11, 9, 4, 5, 8, 12, 9, 15,3, South
10, 10, 8, 4, 6, 8, 13, 9, 15,3, South
10, 9, 8, 5, 6, 8, 13, 9, 16,3, East
11, 9, 8, 6, 6, 8, 14, 9, 16,4, East
12, 9, 8, 6, 6, 9, 14, 8, 17,4, East
13, 9, 9, 6, 6, 8, 14, 9, 17,5, East
14, 9, 9, 6, 5, 8, 5, 1, 17,5, East
15, 9, 10, 6, 5, 9, 5, 1, 16,5, East
16, 9, 9, 6, 5, 9, 5, 1, 16,4, South
16, 8, 10, 6, 5, 10, 5, 1, 15,4, South
16, 7, 10, 5, 5, 9, 5, 1, 15,4, Stop
16, 7, 10, 5, 5, 8, 5, 1, 16,4, East
17, 7, 10, 6, 6, 8, 5, 1, 15,4, East
18, 7, 10, 5, 6, 8, 5, 1, 15,5, South
18, 6, 10, 5, 5, 8, 5, 1, 15,5, South
18, 5, 9, 5, 6, 8, 5, 1, 14,5, West
17, 5, 9, 5, 6, 7, 5, 1, 14,5, West
16, 5, 9, 6, 6, 7, 5, 1, 14,6, West
15, 5, 10, 6, 7, 7, 5, 1, 14,6, West
14, 5, 9, 6, 7, 7, 5, 1, 14,7, West
13, 5, 9, 5, 6, 7, 5, 1, 14,8, West
12, 5, 9, 4, 7, 7, 5, 1, 14,8, West
11, 5, 10, 4, 6, 7, 5, 1, 14,8, West
10, 5, 11, 4, 5, 7, 5, 1, 14,8, West
9, 5, 11, 4, 5, 7, 5, 1, 15,8, West
8, 5, 11, 3, 4, 7, 5, 1, 15,7, South
8, 4, 11, 4, 3, 7, 5, 1, 14,7, East
9, 4, 11, 3, 2, 7, 5, 1, 14,6, East
10, 4, 11, 4, 1, 7, 5, 1, 14,6, East
11, 4, 1, 1, 1, 8, 5, 1, 14,5, Stop
11, 4, 1, 1, 2, 8, 5, 1, 14,5, North
11, 5, 1, 1, 2, 9, 5, 1, 15,5, Stop
11, 5, 1, 1, 1, 9, 5, 1, 16,5, East
12, 5, 1, 1, 1, 10, 5, 1, 17,5, East
13, 5, 1, 1, 1, 11, 5, 1, 17,5, East
14, 5, 1, 1, 2, 11, 5, 1, 17,5, East
15, 5, 1, 1, 1, 11, 5, 1, 17,4, East
16, 5, 1, 1, 1, 11, 5, 1, 17,5, East
17, 5, 1, 1, 1, 10, 5, 1, 18,5, East
18, 5, 1, 1, 1, 10, 5, 1, 7,1, Stop
18, 5, 1, 1, 1, 11, 5, 1, 7,1, North
18, 6, 1, 1, 1, 10, 5, 1, 7,1, North
18, 7, 1, 1, 1, 10, 5, 1, 7,1, North
18, 8, 1, 1, 1, 11, 5, 1, 7,1, North
18, 9, 1, 1, 2, 11, 5, 1, 7,1, North
18, 10, 1, 1, 3, 11, 5, 1, 7,1, North
18, 11, 1, 1, 2, 11, 5, 1, 7,1, West
17, 11, 1, 1, 2, 11, 5, 1, 7,1, West
16, 11, 1, 1, 2, 11, 5, 1, 7,1, West
15, 11, 1, 1, 2, 11, 5, 1, 7,1, West
14, 11, 1, 1, 2, 11, 5, 1, 7,1, West
13, 11, 1, 1, 3, 11, 5, 1, 7,1, West
12, 11, 1, 1, 4, 11, 5, 1, 7,1, West
11, 11, 1, 1, 3, 11, 5, 1, 7,1, West
10, 11, 1, 1, 2, 11, 5, 1, 7,1, West
9, 11, 1, 1, 3, 11, 5, 1, 7,1, West
8, 11, 1, 1, 3, 11, 5, 1, 7,1, West
7, 11, 1, 1, 3, 11, 5, 1, 7,1, West
6, 11, 1, 1, 3, 11, 5, 1, 7,1, West
5, 11, 1, 1, 3, 11, 5, 1, 7,1, West
