@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
12, 11, East, 6, 4, 4, 8, 5, 1, 16,5, 10, 189, East
13, 11, East, 6, 3, 4, 9, 5, 1, 16,5, 10, 188, East
14, 11, East, 5, 3, 4, 8, 5, 1, 17,5, 8, 187, South
14, 10, South, 5, 3, 3, 8, 5, 1, 16,5, 7, 286, South
14, 9, South, 5, 4, 3, 7, 5, 1, 16,5, 5, 285, South
14, 8, South, 5, 3, 3, 7, 5, 1, 15,5, 5, 284, South
14, 7, South, 5, 4, 4, 7, 5, 1, 15,4, 5, 283, South
14, 6, South, 4, 4, 5, 7, 5, 1, 15,3, 3, 282, South
14, 5, South, 4, 3, 4, 7, 5, 1, 15,4, 1, 281, South
14, 4, South, 4, 4, 4, 7, 5, 1, 15,5, 3, 280, South
14, 3, South, 3, 4, 4, 7, 5, 1, 16,5, 4, 279, Stop
14, 3, South, 3, 3, 4, 7, 5, 1, 16,5, 3, 278, Stop
14, 3, South, 3, 4, 3, 7, 5, 1, 15,5, 2, 277, East
15, 3, East, 3, 4, 2, 7, 5, 1, 14,5, 2, 276, North
15, 4, North, 4, 4, 1, 7, 5, 1, 15,5, 2, 275, North
15, 5, North, 4, 5, 2, 7, 5, 1, 14,5, 2, 274, West
14, 5, West, 4, 5, 1, 7, 5, 1, 13,5, 10, 473, West
13, 5, West, 4, 5, 1, 6, 5, 1, 7,1, 9, 472, West
12, 5, West, 4, 4, 1, 6, 5, 1, 7,1, 9, 471, West
11, 5, West, 3, 4, 1, 7, 5, 1, 7,1, 9, 470, West
10, 5, West, 3, 5, 2, 7, 5, 1, 7,1, 7, 469, North
10, 6, North, 4, 5, 3, 7, 5, 1, 7,1, 7, 568, North
10, 7, North, 4, 5, 2, 7, 5, 1, 7,1, 8, 567, West
9, 7, West, 4, 5, 2, 8, 5, 1, 7,1, 7, 566, West
8, 7, West, 4, 4, 1, 8, 5, 1, 7,1, 7, 565, West
7, 7, West, 4, 5, 2, 8, 5, 1, 7,1, 5, 564, West
6, 7, West, 4, 5, 2, 8, 5, 1, 7,1, 4, 563, West
5, 7, West, 4, 5, 2, 8, 5, 1, 7,1, 3, 562, West
4, 7, West, 5, 5, 2, 7, 5, 1, 7,1, 2, 561, West
3, 7, West, 5, 4, 2, 7, 5, 1, 7,1, 1, 560, West
2, 7, West, 5, 3, 3, 1, 5, 1, 7,1, 7, 759, West
1, 7, West, 4, 3, 3, 1, 5, 1, 7,1, 7, 758, Stop
1, 7, West, 4, 3, 3, 1, 5, 1, 7,1, 7, 757, South
1, 6, South, 4, 3, 3, 1, 5, 1, 7,1, 6, 756, South
1, 5, South, 3, 3, 3, 1, 5, 1, 7,1, 4, 755, South
1, 4, South, 3, 4, 3, 1, 5, 1, 7,1, 2, 754, East
1, 11, Stop, 6, 5, 6, 9, 8, 11, 14,6, 7, 0, East
2, 11, East, 5, 5, 6, 9, 8, 11, 14,6, 6, -1, East
3, 11, East, 5, 4, 5, 9, 8, 11, 14,6, 4, -2, East
4, 11, East, 6, 4, 5, 10, 8, 11, 14,6, 2, -3, East
5, 11, East, 6, 3, 6, 10, 8, 11, 14,7, 2, -4, East
6, 11, East, 7, 3, 6, 9, 8, 11, 15,7, 2, -5, East
7, 11, East, 7, 4, 7, 9, 8, 11, 16,7, 1, -6, East
8, 11, East, 7, 5, 7, 9, 5, 1, 15,7, 3, 193, East
9, 11, East, 8, 5, 6, 9, 5, 1, 15,8, 5, 192, East
10, 11, East, 9, 5, 7, 9, 5, 1, 16,8, 5, 191, South
10, 10, South, 9, 6, 7, 9, 5, 1, 17,8, 4, 190, South
10, 9, South, 8, 6, 7, 8, 5, 1, 16,8, 4, 189, South
10, 8, South, 9, 6, 7, 9, 5, 1, 17,8, 3, 188, South
10, 7, South, 10, 6, 8, 9, 5, 1, 17,9, 1, 187, South
10, 6, South, 1, 1, 8, 9, 5, 1, 16,9, 5, 486, South
10, 5, South, 1, 1, 8, 8, 5, 1, 15,9, 5, 485, South
10, 4, South, 1, 1, 8, 7, 5, 1, 14,9, 5, 484, North
10, 5, North, 1, 1, 7, 7, 5, 1, 13,9, 5, 483, North
10, 6, North, 1, 1, 6, 7, 5, 1, 13,9, 5, 482, North
10, 7, North, 1, 1, 6, 8, 5, 1, 14,9, 5, 481, North
10, 8, North, 1, 1, 6, 8, 5, 1, 15,9, 4, 480, North
10, 9, North, 1, 1, 6, 9, 5, 1, 15,9, 4, 479, West
9, 9, West, 1, 1, 6, 10, 5, 1, 14,9, 4, 478, West
8, 9, West, 1, 1, 6, 10, 5, 1, 14,9, 3, 477, West
7, 9, West, 1, 1, 6, 10, 5, 1, 15,9, 2, 476, West
6, 9, West, 1, 1, 5, 10, 5, 1, 15,9, 2, 475, North
6, 10, North, 1, 1, 5, 11, 5, 1, 14,9, 2, 474, North
6, 11, North, 1, 1, 4, 11, 5, 1, 14,8, 2, 473, Stop
6, 11, North, 1, 1, 3, 11, 5, 1, 13,8, 3, 472, West
5, 11, West, 1, 1, 3, 11, 5, 1, 13,7, 2, 471, West
4, 11, West, 1, 1, 3, 11, 5, 1, 12,7, 1, 470, West
3, 11, West, 1, 1, 3, 1, 5, 1, 13,7, 13, 669, West
2, 11, West, 1, 1, 3, 1, 5, 1, 12,7, 15, 668, East
3, 11, East, 1, 1, 3, 1, 5, 1, 13,7, 15, 667, East
4, 11, East, 1, 1, 3, 1, 5, 1, 14,7, 15, 666, East
5, 11, East, 1, 1, 3, 1, 5, 1, 14,6, 15, 665, East
6, 11, East, 1, 1, 3, 1, 5, 1, 14,5, 15, 664, East
7, 11, East, 1, 1, 3, 1, 5, 1, 15,5, 15, 663, East
8, 11, East, 1, 1, 3, 1, 5, 1, 16,5, 15, 662, East
9, 11, East, 1, 1, 3, 1, 5, 1, 17,5, 15, 661, East
10, 11, East, 1, 1, 3, 1, 5, 1, 17,4, 14, 660, East
11, 11, East, 1, 1, 3, 1, 5, 1, 17,4, 12, 659, East
12, 11, East, 1, 1, 3, 1, 5, 1, 16,4, 10, 658, East
13, 11, East, 1, 1, 3, 1, 5, 1, 16,5, 9, 657, East
14, 11, East, 1, 1, 3, 1, 5, 1, 16,5, 8, 656, South
14, 10, South, 1, 1, 3, 1, 5, 1, 16,5, 7, 755, South
14, 9, South, 1, 1, 3, 1, 5, 1, 16,5, 6, 754, South
14, 8, South, 1, 1, 3, 1, 5, 1, 16,5, 6, 753, South
14, 7, South, 1, 1, 3, 1, 5, 1, 17,5, 4, 752, South
14, 6, South, 1, 1, 3, 1, 5, 1, 16,5, 4, 751, South
14, 5, South, 1, 1, 3, 1, 5, 1, 17,5, 4, 750, East
15, 5, East, 1, 1, 3, 1, 5, 1, 17,4, 4, 749, East
16, 5, East, 1, 1, 3, 1, 5, 1, 17,3, 3, 748, East
17, 5, East, 1, 1, 3, 1, 5, 1, 17,3, 1, 747, South
1, 11, Stop, 6, 5, 6, 9, 8, 11, 14,6, 7, 0, South
1, 10, South, 6, 5, 6, 10, 7, 11, 14,6, 5, -1, South
1, 9, South, 6, 4, 5, 10, 6, 11, 14,6, 5, -2, East
2, 9, East, 6, 4, 5, 10, 6, 11, 14,5, 4, -3, East
3, 9, East, 5, 4, 5, 10, 6, 11, 14,6, 3, -4, East
4, 9, East, 5, 3, 5, 9, 6, 10, 14,5, 1, -5, East
5, 9, East, 5, 4, 3, 1, 6, 10, 13,5, 2, 194, North
5, 10, North, 5, 5, 3, 1, 6, 9, 13,4, 2, 193, North
5, 11, North, 6, 5, 3, 1, 5, 9, 13,3, 2, 192, Stop
5, 11, North, 6, 4, 3, 1, 5, 10, 14,3, 1, 191, East
6, 11, East, 5, 4, 3, 1, 5, 10, 14,4, 2, 190, East
7, 11, East, 4, 4, 3, 1, 6, 10, 14,5, 2, 189, East
8, 11, East, 4, 4, 3, 1, 6, 10, 14,6, 3, 188, East
9, 11, East, 4, 4, 3, 1, 6, 11, 14,6, 3, 187, East
10, 11, East, 4, 4, 3, 1, 6, 11, 14,6, 4, 186, East
11, 11, East, 4, 5, 3, 1, 6, 10, 14,6, 6, 185, East
12, 11, East, 5, 5, 3, 1, 6, 9, 14,5, 7, 184, East
13, 11, East, 6, 5, 3, 1, 5, 9, 13,5, 7, 183, East
14, 11, East, 6, 4, 3, 1, 6, 9, 13,4, 8, 182, South
14, 10, South, 5, 4, 3, 1, 7, 9, 13,4, 6, 281, South
14, 9, South, 5, 4, 3, 1, 8, 9, 14,4, 5, 280, South
14, 8, South, 5, 5, 3, 1, 7, 9, 14,4, 5, 279, South
14, 7, South, 6, 5, 3, 1, 7, 9, 14,3, 5, 278, South
14, 6, South, 5, 5, 3, 1, 7, 8, 15,3, 5, 277, South
14, 5, South, 6, 5, 3, 1, 7, 8, 16,3, 5, 276, South
14, 4, South, 6, 5, 3, 1, 7, 9, 17,3, 5, 275, East
15, 4, East, 6, 5, 3, 1, 7, 8, 18,3, 4, 274, East
16, 4, East, 6, 5, 3, 1, 7, 9, 18,3, 3, 273, East
17, 4, East, 5, 5, 3, 1, 6, 9, 18,3, 1, 272, East
18, 4, East, 6, 5, 3, 1, 5, 9, 17,3, 1, 271, West
17, 4, West, 6, 5, 3, 1, 5, 10, 18,3, 2, 270, West
16, 4, West, 5, 5, 3, 1, 5, 10, 18,3, 2, 269, West
15, 4, West, 6, 5, 3, 1, 5, 10, 17,3, 2, 268, West
14, 4, West, 6, 5, 3, 1, 5, 9, 17,4, 3, 267, South
