@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
2, 11, East, 5, -1, East
3, 11, East, 3, -2, East
4, 11, East, 2, -3, East
5, 11, East, 2, -4, East
6, 11, East, 2, 195, South
6, 10, South, 7, 394, South
6, 9, South, 6, 393, South
6, 8, South, 6, 392, South
6, 7, South, 5, 391, East
7, 7, East, 5, 390, East
8, 7, East, 5, 389, East
9, 7, East, 3, 388, East
10, 7, East, 5, 387, South
10, 6, South, 3, 486, South
10, 5, South, 2, 485, South
10, 4, South, 2, 484, West
9, 4, West, 2, 483, West
8, 4, West, 2, 482, West
7, 4, West, 8, 681, West
6, 4, West, 9, 680, West
5, 4, West, 9, 679, West
4, 4, West, 10, 678, West
3, 4, West, 12, 677, West
2, 4, West, 13, 676, West
1, 4, West, 13, 675, North
1, 5, North, 11, 674, North
1, 6, North, 12, 673, North
1, 7, North, 13, 672, North
1, 8, North, 13, 671, North
1, 9, North, 14, 670, North
1, 10, North, 16, 669, North
1, 11, North, 17, 668, East
2, 11, East, 16, 667, East
3, 11, East, 15, 666, East
4, 11, East, 15, 665, East
5, 11, East, 13, 664, East
6, 11, East, 12, 663, East
7, 11, East, 12, 662, East
8, 11, East, 11, 661, East
9, 11, East, 9, 660, East
10, 11, East, 9, 659, East
11, 11, East, 9, 658, East
12, 11, East, 9, 657, East
13, 11, East, 11, 656, East
14, 11, East, 11, 655, South
14, 10, South, 9, 754, South
14, 9, South, 9, 753, South
14, 8, South, 7, 752, South
14, 7, South, 7, 751, South
14, 6, South, 5, 750, South
14, 5, South, 5, 749, West
13, 5, West, 5, 748, West
12, 5, West, 3, 747, West
11, 5, West, 3, 746, South
11, 4, South, 2, 745, South
11, 3, South, 1, 744, Stop
11, 3, South, 1, 743, Stop
11, 3, South, 2, 742, West
10, 3, West, 2, 741, West
9, 3, West, 3, 740, West
8, 3, West, 5, 739, West
7, 3, West, 7, 738, East
8, 3, East, 7, 737, East
9, 3, East, 7, 736, East
10, 3, East, 5, 735, North
10, 4, North, 4, 734, North
10, 5, North, 4, 733, East
11, 5, East, 4, 732, East
12, 5, East, 3, 731, East
13, 5, East, 3, 730, East
14, 5, East, 2, 729, East
1, 11, Stop, 7, 0, East
2, 11, East, 6, -1, East
3, 11, East, 4, -2, East
4, 11, East, 2, -3, East
5, 11, East, 2, -4, East
6, 11, East, 5, 195, East
7, 11, East, 4, 194, East
8, 11, East, 2, 193, East
9, 11, East, 4, 192, East
10, 11, East, 4, 191, East
11, 11, East, 6, 190, East
12, 11, East, 4, 189, East
13, 11, East, 3, 188, East
14, 11, East, 3, 187, South
14, 10, South, 3, 286, South
14, 9, South, 3, 285, West
13, 9, West, 3, 284, West
12, 9, West, 3, 283, West
11, 9, West, 3, 282, West
10, 9, West, 2, 281, West
9, 9, West, 2, 280, West
8, 9, West, 1, 279, West
7, 9, West, 5, 478, West
6, 9, West, 6, 477, East
7, 9, East, 5, 476, East
8, 9, East, 3, 475, East
9, 9, East, 1, 474, East
10, 9, East, 10, 673, East
11, 9, East, 12, 672, East
12, 9, East, 12, 671, South
12, 8, South, 10, 670, South
12, 7, South, 10, 669, Stop
12, 7, South, 9, 668, Stop
12, 7, South, 9, 667, North
12, 8, North, 11, 666, North
12, 9, North, 12, 665, West
11, 9, West, 12, 664, West
10, 9, West, 10, 663, South
10, 8, South, 10, 662, South
10, 7, South, 10, 661, South
10, 6, South, 8, 760, South
10, 5, South, 6, 759, West
9, 5, West, 6, 758, West
8, 5, West, 4, 757, West
7, 5, West, 3, 756, West
6, 5, West, 3, 755, West
5, 5, West, 3, 754, West
4, 5, West, 3, 753, West
3, 5, West, 3, 752, West
2, 5, West, 3, 751, East
3, 5, East, 3, 750, East
4, 5, East, 1, 749, East
5, 5, East, 3, 748, East
6, 5, East, 4, 747, East
7, 5, East, 4, 746, West
6, 5, West, 4, 745, West
5, 5, West, 4, 744, West
4, 5, West, 3, 743, West
3, 5, West, 1, 742, West
2, 5, West, 3, 741, West
1, 5, West, 5, 740, East
2, 5, East, 3, 739, East
3, 5, East, 3, 738, East
4, 5, East, 3, 737, East
5, 5, East, 2, 736, South
5, 4, South, 1, 735, South
1, 11, Stop, 7, 0, South
1, 10, South, 7, -1, South
1, 9, South, 7, -2, South
1, 8, South, 7, -3, East
2, 8, East, 7, -4, East
3, 8, East, 5, -5, East
4, 8, East, 4, -6, North
4, 9, North, 4, -7, Stop
4, 9, North, 4, -8, Stop
4, 9, North, 5, -9, East
5, 9, East, 3, -10, East
6, 9, East, 3, -11, East
7, 9, East, 2, -12, East
8, 9, East, 2, -13, East
9, 9, East, 2, -14, East
10, 9, East, 4, -15, North
10, 10, North, 3, -16, North
10, 11, North, 2, -17, Stop
10, 11, North, 1, -18, West
9, 11, West, 5, 181, West
8, 11, West, 6, 180, West
7, 11, West, 7, 179, West
6, 11, West, 7, 178, South
6, 10, South, 7, 177, South
6, 9, South, 5, 176, East
7, 9, East, 5, 175, East
8, 9, East, 6, 174, East
9, 9, East, 6, 173, East
10, 9, East, 4, 172, South
10, 8, South, 4, 171, South
10, 7, South, 2, 170, South
10, 6, South, 2, 269, South
10, 5, South, 2, 268, South
10, 4, South, 2, 267, South
10, 3, South, 2, 466, Stop
10, 3, South, 2, 465, Stop
10, 3, South, 3, 464, West
9, 3, West, 3, 463, West
8, 3, West, 3, 462, West
7, 3, West, 2, 461, North
7, 4, North, 1, 460, North
7, 5, North, 11, 659, Stop
